Sanskrit Filename,Tibetan Filename,d_ref,CBETA number,Remarks Chinese translation,Full title of the text,Additional information,Author,author_id,GRETIL/DSBC Link,Reconstructed,Edition on Archive
GSP32vaisessu,,,,,Vaiśeṣikasūtra,,Kaṇāda,P0AT0226,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vaisesik/vaisessu.htm,,https://archive.org/search.php?query=Vai%C5%9Be%E1%B9%A3ikas%C5%ABtra
GSP32paddhs_u,,,,,Padārthadharmasaṃgraha,Commentary on Kaṇāda's Vaiśeṣikasūtra,Praśastapāda,P0AT0225,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/vaisesik/paddhs_u.htm,,https://archive.org/details/PadarthadharmasangrahahVyomavatiSuktihSetuh/mode/2up
GSP31yuktdipu,,,,,Yuktidīpikā,A commentary on Īśvarakṛṣṇa's Sāṃkhyakārikā,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/yuktdipu.htm,,
GSP31vijsamsu,,,,,Sāṅkhyasāra,,Vijñānabhikṣu,P0AT0224,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/vijsamsu.htm,,
GSP31tttvsamu,,,,,Tattvasamāsa,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tttvsamu.htm,,
GSP31ttssarvu,,,,,Sarvopakāriṇī,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/ttssarvu.htm,,https://archive.org/search.php?query=Sarvopak%C4%81ri%E1%B9%87%C4%AB
GSP31tsc_vivu,,,,,Sāṃkhyasūtravivaraṇa,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tsc_vivu.htm,,
GSP31tsc_simu,,,,,Sāṃkhyatattvavivecana,,Ṣimānandadīkṣita [Kṣemānanda/Kṣemendra (?)],P0AT0223,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tsc_simu.htm,,
GSP31tsc_bhau,,,,,Tattvayāthārthyadīpana,,Bhāvāgaṇeśa [Ganesadiksita],P0AT0222,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tsc_bhau.htm,,
GSP31tattvmiu,,,,,Tattvamīmāṃsā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tattvmiu.htm,,
GSP31tatsuvru,,,,,Tattvasamāsasūtravṛtti [Kramadīpikā],,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/tatsuvru.htm,,https://archive.org/search.php?query=Kramad%C4%ABpik%C4%81
GSP31sparibhu,,,,,Sāṃkhyaparibhāṣā,,,,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/sparibhu.htm,,
GSP31samkhsuu,,,,,Sāṃkhyasūtra,,Kapila,P0AT0221,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/samkhsuu.htm,,
GSP31kestprau,,,,,Sāṃkhyatattvapradīpikā [Sāṃkhyārthatattvapradīpikā],,Keśava,P0AT0117,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/samkhya/kestprau.htm,,
