title,original_link,link,notes
akulavīratantram,,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%81%E0%A4%B2%E0%A4%B5%E0%A5%80%E0%A4%B0%E0%A4%A4%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A5%8D,
āgamaprāmāṇyam,,https://sa.wikisource.org/wiki/%E0%A4%86%E0%A4%97%E0%A4%AE%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%A3%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,
tantrasāraḥ,,,fully included in gretil
tantrālokaḥ,,,fully included in gretil
devyāḥ kavacam,,https://sa.wikisource.org/wiki/%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%83_%E0%A4%95%E0%A4%B5%E0%A4%9A%E0%A4%AE%E0%A5%8D,
prayogamañjarī,,https://sa.wikisource.org/wiki/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A4%AE%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%B0%E0%A5%80,
yogapādaḥ,,,fully included in gretil
sādhanadīpikā,,,fully included in gretil
svacchandatantram,,,fully included in gretil
īśāvāsyopaniṣadbhāṣyam,ईशावास्योपनिषद्भाष्यम् - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%88%E0%A4%B6%E0%A4%BE%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%AA%E0%A4%A8%E0%A4%BF%E0%A4%B7%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,
aitareyopaniṣadbhāṣyam,,,included in gretil
kaṭhopaniṣad-śāṅkarabhāṣyam,,,included in gretil
kenopaniṣadbhāṣyam,केनोपनिषद्भाष्यम् - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%95%E0%A5%87%E0%A4%A8%E0%A5%8B%E0%A4%AA%E0%A4%A8%E0%A4%BF%E0%A4%B7%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,
chāndogyopaniṣadbhāṣyam,,,included in gretil
taittarīyopaniṣadbhāṣyam,,,included in gretil
praśnopaniṣadbhāṣyam,,,included in gretil
bṛhadāraṇyakopaniṣadbhāṣyam,,,included in gretil
māṇḍūkyopaniṣadbhāṣyam,,,included in gretil
muṇḍakopaniṣadbhāṣyam,मुण्डकोपनिषद्भाष्यम् - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%AE%E0%A5%81%E0%A4%A3%E0%A5%8D%E0%A4%A1%E0%A4%95%E0%A5%8B%E0%A4%AA%E0%A4%A8%E0%A4%BF%E0%A4%B7%E0%A4%A6%E0%A5%8D%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A5%8D,
advaitamakaranda,अद्वैत मकरन्द - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4_%E0%A4%AE%E0%A4%95%E0%A4%B0%E0%A4%A8%E0%A5%8D%E0%A4%A6,
advaitapañcaratnam,अद्वैतपञ्चरत्नम् - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4%E0%A4%AA%E0%A4%9E%E0%A5%8D%E0%A4%9A%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8%E0%A4%AE%E0%A5%8D,
advaitasiddhi guruchandrikā,अनुक्रमणिका:Advaita Siddhi with Guru Chandrika vyakhya.djvu - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%A3%E0%A4%BF%E0%A4%95%E0%A4%BE:Advaita_Siddhi_with_Guru_Chandrika_vyakhya.djvu,
advaitarasamañjarī,अद्वैतरसमञ्जरी - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4%E0%A4%B0%E0%A4%B8%E0%A4%AE%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%B0%E0%A5%80,
advaitasiddhiḥ,अद्वैतसिद्धिः - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4%E0%A4%B8%E0%A4%BF%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%83,
advaitānubhūtiḥ,अद्वैतानुभूतिः - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A5%88%E0%A4%A4%E0%A4%BE%E0%A4%A8%E0%A5%81%E0%A4%AD%E0%A5%82%E0%A4%A4%E0%A4%BF%E0%A4%83,
anātmaśrīvigarhaṇaprakaraṇam,अनात्मश्रीविगर्हणप्रकरणम् - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AE%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%B5%E0%A4%BF%E0%A4%97%E0%A4%B0%E0%A5%8D%E0%A4%B9%E0%A4%A3%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%95%E0%A4%B0%E0%A4%A3%E0%A4%AE%E0%A5%8D,
aparokṣānubhūtiḥ,अपरोक्षानुभूतिः - विकिस्रोतः,https://sa.wikisource.org/wiki/%E0%A4%85%E0%A4%AA%E0%A4%B0%E0%A5%8B%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE%E0%A4%A8%E0%A5%81%E0%A4%AD%E0%A5%82%E0%A4%A4%E0%A4%BF%E0%A4%83,
