,Catalog number,Title 1 (Muktabodha),"Version: if only one version (default) = blank; if there is more than one version: version 1, 2, 3, etc.",Version: Based on: xxx: Bibliographical entry: Editor,"Version: Duplicates: if version 2, 3, etc. = ""catalogue number""",Version: General Remarks,Version: Internal Remarks,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available","Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other
 | Excerpts",Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author,Author/Person ID,Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
49,M00053,Īśvarapratyabhijñākaumudī,,,,,,,,colophon,,ilxM00019,commentary,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Bhaṭṭāraka,mbP0016,colophon,Bhaṭṭāraka Sundara,colophon,iti śrīmadudpaladevaracitapratyabhijñāyī sūtrāvali śrīmadbhirava āptaracitasūtravimarśinyīḥ śrīmadbhaṭṭārakasundarīdāsenau tu jātijadmināsākṣācchaṅkarāvatāra śrīmacchrīvidyāpārijāta śrīmacchrīśaṅkarācāryavarya putramaṇinādviśatasaṅkhyāyāḥ ślokāvalyāḥ viracitākaumudī pratyabhijñākaumudyākhyāsamāptī kṛteti śivasambhusambhunāthasādhakānāṃ parāprāmādamantrodyatsamastaparamārthatatvānāṃ pāramārtha vidāṃceti śubham // pratyabhijñākaumidīsamāptā śrīmadbhaṭṭārakaracitā || saṃ 74 śrāvaṇe kṛṣṇapakṣe saptamyāṃ revatyāṃ saubhāgyaviṣkambhe phaṭtra?yoge ca | āccike lagne ca samāptiṃ gatā pratyabhijñā kaumudī ||,
50,M00197,Īśvarapratyabhijñāvimarśinīvyākhyā,,,,,,,,colophon,,"ilxM00019, M00019",sub-commentary,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti śrīmadācāryotpaladevaviracitāyāmīśvarapratyabhijñāyāṃ śrīmadācāryābhinavaguptaviracitavimarśinyākhyaṭīkopetāyāṃ tattvasaṅgrahādhikāraḥ | samāptā śrīmadīśvarapratyabhijñā || AT END - śrīpratyabhijñāsūtravimarśinī vyākhyā samāptā,
51,M00019,Īśvarapratyabhijñāvimarśinī,,"Pandey, K. C.",,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Abhinavagupta,mbP0017,colophon,Śrīmadācārya Abhinavagupta,colophon,iti śrīmadācāryotpaladevaviracitāyāmīśvarapratyabhijñāyāṃ śrīmadācāryābhinavaguptaviracitavimarśinyākhyaṭīkopetāyāṃ tattvasaṅgrahādhikāraḥ || samāptā śrīmadīśvarapratyabhijñā || FURTHER - iti pratyabhijñāsūtravimarśinīvyākhyā samāptā,
52,M00020,Īśvarapratyabhijñāvivṛtivimarśinī Volume 1,,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Abhinavagupta,mbP0017,colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,iti śrīmahāmāheśvaraśrīmadācāryābhinavaguptaviracitāyāmīśvarapratyabhijñāvivṛtivimarśinyāṃ jñānādhikāre paradarśanānupapattivimarśastṛtīyaḥ,
53,M00021,Īśvarapratyabhijñāvivṛtivimarśinī Volume 2,,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Abhinavagupta,mbP0017,colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,spandakārikā vivṛti,
54,M00022,Īśvarapratyabhijñāvivṛtivimarśinī Volume 3,,Śāstrī M. K.,,,,,,colophon,,ilxM00019,commentary,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Abhinavagupta,mbP0017,colophon,Śrīmahāmāheśvaraśrīmadācārya Abhinavagupta,colophon,iti mahāmāheśvaraśrīmadācāryābhinavaguptaviracitāyāmīśvarapratyabhijñāvivṛtivimarśinyāṃ samastanigamanaṃ caturtho vimarśaḥ || samāptā ca iyamīśvarapratyabhijñāvivṛtivimarśinī || kṛtiḥ śrītrinayanacaraṇacintanalabdhaprasiddhīnāmabhinavaguptapādānām ||,
55,M00660,Īśvarasiddhi,version 1,M Kaul,M00660=M00023,exact copy/paste,,,lacks first verse,,Siddhitrayī,,,,"['tantric / āgamic literature', 'non-dual śaivism of Kashmir']",Utpaladeva,mbP0002,colophon,Mahāmāheśvarācārya Utpaladeva,colophon,iti śrīmanmahāmāheśvarācāryotpaladevenodayākarasūnunā viracitā īśvarasiddhiḥ samāptā || śrīmatkaśmīrabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā || ,
56,M00023,Īśvarasiddhi,version 2,Śastrī M Kaul,M00660=M00023,exact copy/paste,,,,,Siddhitrayī,,,,"['śaiva', 'non-dual śaivism of Kashmir', 'pratyabhijñā']",Utpaladeva,mbP0002,colophon,Mahāmāheśvarācārya Utpaladeva,colophon,iti śrīmanmahāmāheśvarācāryotpaladevenodayākarasūnunā viracitā īśvarasiddhiḥ samāptā || śrīmatkaśmīrabhūbharturājñayā prītaye satām | madhusūdanakaulena saṃpādyeyaṃ prakāśitā || ,
57,M00420,Ugracaṇḍapūjāpaddhati,,,,,,incomplete,,,,,,,"['tantra / āgama', 'śākta', 'Paddhati']",,,,,, iti ugracaṇḍā ugracaṇḍī siddhilakṣmī guhyakāli devārcanavidhi samāpta,in middle
58,M00419,Ucchiṣṭacāṇḍālinīkalpa,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'śākta']",,,,,,ugrarudrayāmūle rudrapārvati saṃvāde śrīsāradātilake ucciddhiṣṭacāṇḍālinī kalpaviṃsāṃ talīṣyane /// iti śrīvisvasāro ucāramahādevatraṇītaṃ śrīpārvatiyodhasanmukhī kalpaṃ samāptaḥ,at beginning /// towards end
59,M00169,Uḍḍāmeśvaratantra,,Zadoo J. D.,,,,,15 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīśivaprokte vīrabhadreśvaratantroddhṛte uḍḍāmareśvaramahātantre pañcadaśaḥ paṭalaḥ samāptamidam,
60,M00247,Uddhārakośa,,Taki Shodo,,,A Dictionary of the Secret Tantric Syllabic Code,,,,,,,,['tantric / āgamic literature'],Śrī Dakṣiṇāmūrti,mbP0144,colophon,,,iti śrīdakṣiṇāmūrti viracita uddhārakośe sakalāgama sāre ṣoḍaśa devī saptadevī sapta kumāra nava graha catasṛ devī kośa dhyāna nirṇayo nāma saptamaḥ kalpaḥ,
61,M00275,Unmattabhairava,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,,,hariḥ oṃ tatsatpārameśvaratantre vārāṇasī paṭale unmattabhairavopākhyāne gururudrasaṃvāde śrī unmatta bhairavahṛdayaṃ samāptam,
62,M00276,Umāsaṃhitā,,,,,,incomplete,,,,,,,['vaiṣṇava'],,,,,, ityumā saṃhitāyāṃ dvitīyodhyāyaḥ,in middle
63,M00421,Ūrddhvāmnāya Damanārohaṇapaddhati,,,,,,,,,,,,,"['tantra / āgama', 'śākta', 'Paddhati']",,,,,,iti śrīurddhāmnāya pakaranadamanā rohanavidhi samāpta,
64,M00422,Ūrddhvāmnāyapūjāvidhi,,,,,,,,,,,,,"['tantra / āgama', 'śākta']",,,,,,iti uddhamata suṣmaparddhati samāpta,
65,M00640,Ūrdhvāmnāya,,,,,,incomplete,lacking explicit+final colophon ,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,kasyacinnamayākhyātamitaḥpūrvaṃkuleśvari kathayāmitavasnehāndūrdhvāmnāyaṃśṛṇupriye,at beginning
66,M00026,Kaṅkālamālinītantra,,Chatterjee,,,,,"Forward slashes (/) are used in a manner that is compatible with anusvāra (chandrabindu), visarga and even nothing at all. Given the uncertainty, they have been kept unaltered.",,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'kālīkula / krama']",,,,,,iti dakṣiṇāmnāye śrīkaṅkālamālinītantre pañcamaḥ paṭalaḥ samāptaḥ || granthaśca samāptaḥ,
67,M00523,Kamalānāmnī Tripurasundarīpaddhati,version 1,,M00523=M00400,exact copy/paste,,,in 2 parts ,,,,,,"['tantric / āgamic literature', 'śākta', 'Paddhati']",Prema Nidhi Śarma,mbP0103,colophon,Śrī Paṇḍita Vara Prema Nidhi,colophon,kāmyakarmakamalā śrīvidyāpaddhatirūpā śrīpaṇḍitavarapremanidhiviracitā /// iti śrībhāradvājakulaprasūtayetoyanāmakakūrmācalāśritaparaṃparapremanidhiśarmanirbhitāśrīvidyākāmyakarmakamalākamalā ca saṃpūrṇā,
68,M00125,Kamikāgama Uttarabhāga,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta pre 1100 AD']",,,,,,iti uttara kāmikākhye mahātantre vidhiraṣṭanavatitamaḥ patalaḥ,
69,M00124,Kamikāgama Pūrvabhāga,,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta pre 1100 AD']",,,,,,iti kāmikākhye mahātantre gopurasthāpanavidhiḥ pañcasaptatitamaḥ paṭalaḥ || pūrvakāmikaṃ samāptam ,
70,M00208,Karaṇāgama,,,,,,,,,Karaṇāgama Kriyāpāda,,,,['śaiva'],,,,,,iti śrīkāraṇāgame uttarabhāge pārvatīparameśvarasaṃvāde kriyāpāde prāyaścittavidhikathanaṃ nāma daśamaḥ paṭalaḥ,
71,M00236,Karpūrādistotra,,Sir John Woodroffe/Arthur Avalon,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti śrīmanmahākālaviracitaṃ śrīmaddakṣiṇākālaikāyāḥ svarūpākhyaṃ stotraṃ samāptam ||  asya ṭīkā vimalānandadāyinī svarūpavyākhyā ca samāptā +TILAKA,almost at end
72,M00511,Kalaśārcanavidhi,,,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti kalāśārcana vidhiḥ samāptaḥ /// āṣaḍhamāseśuklapakṣe catuthyāṃ tithaumaghanakṣatre sūlayoge ādityavāsare śvakunhu śrīśrījayabhūpatīndramalla mahārādhirājasanaḍhātā polaladevalayāhnapātayā guligāthaseḍhāvahanāṃ lipotathānakāvaśvagāthadute yatāśvasāphulidayakasevi hyāḍhāvagātha dutādinajuro,towards end /// at very end
,ilxM00020,Kalasaṃkarṣinīmatatantra,,,,,,,,,,,,,,,,,,,,
73,M00320,Kalasaṃkarṣinīmatatantra Ṭippaṇī,,,,,,incomplete,,colophon,,ilxM00020,commentary,including the mūla,"['tantric / āgamic literature', 'śākta']",,,,,,nāma ṭippaṇakaḥ samāptaḥ /// iti śrīkālasaṅkarṣaṇīmate caturviṃśatisāhasre samayāṭippaṇako nāma dvitīyaḥ paṭalaḥ,at end /// in middle
74,M00051,Kalpavṛkṣa,,,,,,,,,,,,,['tantric / āgamic literature'],Sāhiba Kaula,mbP0018,colophon,,, nijakalpavṛkṣavandetīkyāna grāhyanodanāvaśitaiḥ | sāhibakaulapadasthairviraśyate svalpatāt padam(?) /// śrīnāthavara śrīhetunātha śrījñānasvāmikṛpākaṭākṣa pratyabhijñātanijasahajaparātmanāṃ saptacatvāriṃśaddhāyana sthitānāṃ śrīgāyatrī bhāṣya śrīdevīnāmavilāsādi nibandhana prabandhaprathitasahitayaśasāṃ mahāmāheśvarācārya sāhibhakaulapādānāṃ śrīnāthamallādi sajjanavinodakāriketi śivam ,at beginning /// at end
75,M00287,Kākacaṇḍeśvarīmata,,,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti śrīkākacaṇḍeśvarīmataṃ samāptam || śubhamastu sadā || śubhaṃ ||,
,ilxM00021,Kātyāyanītantra,,,,,,,,,,,,,,,,,,,,
76,M00631,Kātyāyanītantra Ṭīka,,,,,,,23 chapters,,Mantravyākhyāprakāśikā,ilxM00021,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",Nīlakaṇṭha,mbP0019,colophon,,,raṃganāthasuteneyaṃśrīlakṣmītanayenaca nīlakaṃṭhenaviduṣāmaṃtrasaṃkhyāprakāśikā || kātyāyanītaṃtravaryekṛtāṭīkāyathāmati prīyatītenamedevībhuvaneśīmaheśvarī || itiśrīraṃgabhaṭṭasutalakṣmīgarbhajaśaivopanāmakaṃṭhakṛtāyāṃkātyāyanītaṃtremaṃtravyākhyāprakāśikāyāṃṭīkāyāṃtrayoviṃśaḥpaṭalaḥsamāptaḥ ,
,ilxM00014,Kāmakalāvilāsa,,,,,,,,,,,,,,Puṇyānanda,mbP0020,colophon,,,,
77,M00025,Kāmakalāvilāsa Ṭīka,version 1,Malaviya Sudhakar,M00025=M00282,exact copy/paste,with the commentary cidvallī ,,,,,ilxM00015,commentary,including the mūla,"['tantric / āgamic literature', 'śākta', 'śrī-vidyā']",Puṇyānanda,mbP0020,colophon,,,iti śrīpuṇyānandayativiracitaḥ kāmakalāvilāsaḥ samāptaḥ + tilaka,
78,M00282,Kāmakalāvilāsa Cidvallī,version 2,Malaviya Sudhakar,M00025=M00282,exact copy/paste,with the commentary cidvallī ,,,,,ilxM00015,commentary,including the mūla,"['tantric / āgamic literature', 'śākta', 'śrī-vidyā']",Naṭanānda,mbP0131,colophon,,,iti śrīnaṭanānandakṛtaṃ kāmakalācidvallīvyākhyānaṃ sampūrṇam || śrīgurucaraṇāravindārpaṇamastu || śrī mahātripurasundaryarpaṇamastu ,
79,M00133,Kāmadhenutantra,,R M Caṭṭopādhyāya,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīkāmadhenutantre devīśvarasaṃvāde caturviṃśatitamaḥ paṭalaḥ || samāptamidaṃ kāmadhenutantram,
80,M00239,Kāmaratnatantra,,Hemachandra Goswami Tattabhusan,,,,,16 chapters,,,,,,['tantra / āgama'],Nityanātha,mbP0104,colophon,,,iti śrīnityanāthaviracite kāmaratne rasādiśodhanaṃ nāma ṣoḍaśopadeśaḥ,
81,M00132,Kāmākhyātantra,,R M Caṭṭopādhyāya,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti śrīkāmākhyātantre pārvatīśvarasaṃvāde navamaḥ paṭalaḥ samāptaḥ || samāptaścāyaṃ granthaḥ |,
82,M00546,Kāmeśvarīpūjā,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,itya kāmeśvarī vidhāna pūjāpaṭala samāptamiti śubhaḥ /// iti śrīmanbhagavanmahātripurasundaryāyā paddhati samāptā /// iti dhyāna samāpta śubhaṃ + additional text,in middle
83,M00400,Kāmyakarmakamalā,version 2,,M00523=M00400,exact copy/paste,,,,,Kamalā,,,,['śākta'],Prema Nidhi Śarma,mbP0103,colophon,,,iti śrībhāradvājakulaprasūtayetoyanāmakakūrmācalāśritaparaṃparapremanidhiśarmanirbhitāśrīvidyākāmyakarmakamalākamalā ca saṃpūrṇā,
84,M00235,Kālahastīśavilāsa,,,,,,,,,,,,,"['śaiva', 'śaiva-siddhānta']",,,,,,plavasaṃvatsare mārgaśīrṣe (***) veṃkaṭeśena likhitaṃ kālahastīśapustakam,
85,M00410,Kālāgniyajñavidhi,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,,,kālāgniyajñaghṛtāhuti purṇāsumurtāstu svāhā || iti ghṛtāhutipūrṇāvidhi,towards beginning
86,M00193,Kālānalatantra,,,,,,incomplete,lacking incipit (4 pages); ends with ch.22 (lacking explicit+final colophon),,,,,,"['tantra / āgama', 'śaiva']",,,,,,iti nailalohitīye śrīkālānalataṃtre siddhilakṣmyayutākṣarā kathanannāmadvāviṃśatitamaḥ paṭalaḥ || śrīṁ || śrīcaṇḍakāpālinyārpaṇamastu,
87,M04002,Kālikāpurāṇam,,Pañcānana Tarkavāgīśa,,,,,,,,,,,['tantric / āgamic literature'],,,,,,iti śrīkālikāpurāṇe navatitamo'dhyāyaḥ || iti śrīkālikāpurāṇaṃ samāptam,
88,T00242,Kālikārahasya,,,,,,fragment,excerpt,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti śrī mahābhairavatantre śrī kālikārahasye umāmaheśvarasaṃvāde īśvaraprokto nāma pañcamaḥ paṭalaḥ,
89,M00293,Kālīkalpalatā,,,,,,,,,Dakṣiṇakālīkalpalatā,,,,"['tantric / āgamic literature', 'śākta']",Vimarśānandanātha,mbP0020,colophon,,,iti śrīvimarśānaṃdanāthaviricitāyāṃ kālikalpalatāyāṃ dvitīyaṃ kusumaṃ samāptaṃ || śubhamastu || saṃvat 1754 mītī āsāḍhavadīdutī āsubhasthāne nepālamadhye lalita (*?) ṭhane likhitaṃ |,
90,M00248,Kālottara,version 1,,M00248=E00011=E00012=E0011,,,incomplete,"missing ch.9 to 12, lacking explicit+final colophon",,"Kālottaratantra, Kālottarāgama",,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,,,iti kālottare antaḥkaraṇapaṭalaḥ saptamaḥ,in middle
91,E00011,Kālottara,version 2,,M00248=E00011=E00012=E0011,exact copy/paste of E0011,,,,,"Kālottaratantra, Kālottarāgama",,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,,,iti kālottare trayodaśaśatike daśamaḥ paṭalaḥ samāptaḥ,in middle
92,E00012,Kālottara,version 3,,M00248=E00011=E00012=E0011,,,incomplete,lacking explicit+final colophon,,"Kālottara Mahātantra, Bṛhadkālottara",,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,,,iti kālottare mahātantre prathamaḥ paṭalaḥ,in middle
93,E0011,Kālottara,version 4,,M00248=E00011=E00012=E0011,exact copy/paste as E00011,,,,,"Kālottaratantra, Kālottarāgama",,,,"['tantric / āgamic literature', 'śaiva-siddhānta']",,,,,,iti kālottare trayodaśaśatike daśamaḥ paṭalaḥ samāptaḥ,
94,M00199,"Kiñcitatantra (title is invented by typist; it just means ""a/some"" tantra)",,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva']",,,,,,no,
95,M00548,Kubjikāgurumaṇḍalapūjā,,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,, iti gurumaṇḍalapūjāvidhi /// samvat 8012 jyeṣṭhaśuklanavami śrīharipatideva na coyājuro śubhā,towards end
96,M00547,Kubjikāguhyeśvarīpūjāpaddhati,,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,śrī kubjikāmūttiguhyeśvarī pūjāpaddhatiḥ samāptaḥ || śrī śrī śrī kubjikāguhyeśvarī prīnātu || yādṛśaṃ pustakaṃ dṛṣṭā tādṛśaṃ likhitaṃ mayā | yadi śuddhaṃmaśuddhaṃ vā mama doṣo na diyate + ADDITIONAL WRITING?,
97,M00030,Kubjikātantra,,Chatterjee,,,,,17 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śākta', 'kubjikā']",,,,,,iti kubjikātantre mṛtavatsā kavacaṃ nāma saptadaśaḥ paṭalaḥ,
98,M00549,Kubjikāpūjā,,,,,,incomplete,lacking explicit+colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,no,
99,M00551,Kubjikāṣṭāviṃśatikarmārcana,,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,iti paścimajeṣṭhāmnāya astāviśatikarmmārccanaṃ samāpta,in middle
100,M00550,Kubjikāsamayanirvāṇadīkṣāvidhi,,,,,,incomplete,lacking explicit + final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,,,samayaviśiṣṭanirvvānadīkṣāvidhyoya samāptaḥ,in middle
101,M00402,Kulacūḍāmaṇi Nigama,,John Woodroffe,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,,,iti kulacūḍāmaṇitantre saptamaḥ paṭalaḥ || samāptaścāyaṃ granthaḥ,
102,M0230,Kuladīpikā,,,,,,excerpts,4 excerpts,,Uttaraṣaṭkam Ṣaḍvidyāprakāśikā,,,,['tantric / āgamic literature'],"Unknown, Unknown, Bhaṭṭanāga, Unknown",mbP0106,colophon,,,1) iti śrīrudrayāmale sapādalakṣagrandhe vidyāpīṭhāvatārite uttarabhāge nityaklinnāprakaraṇe ṣaḍvidyāprakāśāyāmuttaraṣaṭkaṃ saṃpūrṇam 2) ityuttaraṣaṭkavivaraṇe kuladīpikāyāṃ prathamaḥ paṭaḥ 3) iti śrī bhaṭṭanāgaviracite tripurāsārasamuccaye daśamaḥ paṭalaḥ 4) iti saṃpradāyadīpikāyāṃ daśamaḥ paṭalaḥ || śrī tejānandanāthasaṃvidāmbā śrīpādukāṃ pūjayāmi | tejānandasya śiṣyena kṛṣṇānandasya sūriṇā | likhitaṃ saṃpradāyasya dīpikācāmbikājñayā + ADDITIONAL WRITING ,4 excerpts
103,M00068,Kulapradīpa,,,,,,,7 chapters,,,,,,"['tantric / āgamic literature', 'kaula']",Śivānanda,mbP0102,colophon,Śivānanda Ācārya,colophon,iti śrīśivānandācārya viracite kulapradīpe saptamaḥ prakāśaḥ saṃpūrṇaḥ | śubhamastu ,
104,M00318,Kulamuktikallolinī,,,,,,,22 chapters,,,,,,"['tantric / āgamic literature', 'śākta', 'compendium', 'Paddhati']",Ādyānandana,mbP0038,colophon,Navamīsiṃha,catalog ,iti śrī ādyānandanaviracitāyāṃ kulamuktikallolinyāṃ dvāviṃśatitamaḥ paṭalaḥ samāptaḥ | śubham,
105,M00331,Kulavṛtti,,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'kaula', 'kaula later post 1100 AD']",Pūrṇānanda,mbP0022,colophon,,,śrīpūrṇānaṃdanāthenakṛtāyāṃ gurubhāvataḥ kulavṛttau svataṃtrāyāṃ triṃśat paṭalaḥ īritaḥ || saṃpūrṇāścādyakhaṃḍakaḥ || (*?) ṇīyārikanagare guruṇāṃ padasannidhe ādyakhaṃḍastu saṃpūrṇā yaśodharagirāśra(***?) || gaṃgāvadetāgariṇāṃbhāvataḥ paraṃ | kulavṛttināmakaṃśāstraṃ likhitaṃ gurusammataṃ || ādau natvā gurūn mūrddhi paścāddevīṃ hṛdāṃvuje | paṭhayaṃti (***?) || śubhamastu ||,
106,M00285,Kulasāra,version 1,,M00285=M00294,,,fragments,3 fragments,,Kulācāranirṇaya,,,,"['tantric / āgamic literature', 'kaula', 'kaula later post 1100 AD']",,,,,,1) iti śrīsomabhujavalyākulasārasaṃgrahe caturviṃśati paṭala /// 2) iti śrīkulāścaranirṇaye gurubhaktiparichamo nāma prathama paṭala /// 3) iti tatvāmarśāṃtyaṣṭikramaḥ aṣṭādaśollāsaḥ saṃpūrṇaṃ,
107,M00294,Kulasāra,version 2,,M00285=M00294,,,incomplete,,,,,,,"['tantric / āgamic literature', 'śaiva', 'kaula early pre 1100 AD']",,,,,,iti kulasāre caturthaḥ paṭalaḥ,in middle
108,M00513,Kulānanda,,P. C. Bagchi,,,,,,,Kulānandatantra,,,,['tantra / āgama'],Matsyendranātha,mbP0001,colophon,,,iti matsyendrapādāvatāritaṃ kulānandaṃ samāptamiti || śubhamastu sarvajagatāma,
109,M00284,Kulānandādi,,,,,,fragments,"2 excerpts (2nd is fragmentary, lacking explicit+colophon) ",,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'kaula', 'śākta']","Matsyendranātha, Unknown",1st: mbP0001,colophon,,,1) iti matsyendrapādāvatārikaṃ kulānandasamāptamitiḥ /// 2) iti kapālakṣaṇaṃ picumate,
110,M00031,Kulārṇavatantra,,"Malaviya, Sudhakar",,,,,17 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'kaula', 'kaula later post 1100 AD']",,,,,,iti śrīkulārṇave nirvāṇamokṣadvāre mahārahasye sarvāgamottamottame sapādalakṣagranthe pañcamakhaṇḍe ūrdhvāmnāyatantre kāmyakarmakathanaṃ nāma saptadaśollāsaḥ,
111,M00274,Kulālaśāstra,,,,,,uncertain,yes?,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,,, iti kulāla śānti tantre pratiṣṭhāvidhi paṭalaḥ samāptaḥ ||śubhamastu /// vidyeśvaran cakrāvannihitārthāya catuṣṣaṣṭhi kalānāṃ devamātā vidyeśvaran nārāyaṇan etat trayodaśānāṃ kulālāḥ priyantām | sarva nakṣatrāṇi prīyantāṃ sarva dhanadhānya samṛddhirastu | ,in middle /// at end
112,M00602,Kaivalyasāra,,,,,,,6 chapters,,,,,,"['śaiva', 'vīraśaiva']",Toṃṭadārya,mbP0108,colophon,,,iti śrīmatparamaśivayogirāṭparivrājakācāryaśrītoṃṭadāryaviracite paramavīraśaivādvaitabodhinyāmekottaraśatasthalaśrutimālāvivaraṇākhyakaivalyasāre liṃgasthalanirūpaṇe mahāliṃgasthalaṃ nāma ṣaṣṭhaṃ prakaraṇaṃ samāptam || śrīḥ śrīḥ,
