original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00296 - darzanopaniSat.htm,darzanopaniSat_M00296.xml,M00296,Darśanopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00296,Śāstrī Mahādeva,,,,,,colophon,Darśana Upaniṣat,ilxM00032,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,iti daśamaḥ khaṇḍaḥ || śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | darśanopaniṣadvyākhyā likhitā brahmamātragā || darśanopaniṣadvyākhyāgranthastu dviśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe navatisaṃkhyāpūrakaṃ darśanopaniṣadvivaraṇaṃ saṃpūraṇam,
M00521 - dAzarathIyatantram.htm,dAzarathIyatantram_M00521.xml,M00521,Dāśarathīyatantram,,,,https://muktabodha-digital-library.org/texts/IAST/M00521,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'vaiṣṇava']",,,,iti śrīmadanuttarabrahmatatvarahasye dāśarathīye taṃtre vedasārārthasaṃgrahe uttarabhāge saubhāgyavidhodaye rājavidyāmāhātmye śāstrarahasyakathanaṃ nāma paṃcacatvārīṃśodhyāyaḥ,almost at end
M00234 - vedajJAna - dIkSAdarza.htm,vedajJAna_dIkSAdarza_M00234.xml,M00234,Dīkṣādarśa,,Vedajñāna,mbP0009,https://muktabodha-digital-library.org/texts/IAST/M00234,,,,,,,,,,,,"['śaiva', 'śaiva-siddhānta']",colophon,,,iti śrī vyāghrapuranivāsī vāmadevātmaja vedajñāna viracita dīkṣādarśassamāptaḥ || śrīmaddevaśikhāmaṇigurubhyo namaḥ || śrīmat ṣaṇmukhagurave namaḥ,
M00245 - dIkSApaddhati.htm,dIkSApaddhati_M00245.xml,M00245,Dīkṣāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00245,,,,,incomplete,lacking explicit+colophon,,,,,,"['śaiva', 'Paddhati']",,,,no,
M00015 - raghunandanaprasAda zukla - dIkSAprakAza.htm,raghunandanaprasAda_zukla_dIkSAprakAza_M00015.xml,M00015,Dīkṣāprakāśa,,Jīvanātha,mbP0042,https://muktabodha-digital-library.org/texts/IAST/M00015,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",colophon,,,iti śrīśambhunāthātmajaśrījīvanāthaviracito dīkṣāprakāśaḥ samāptaḥ /// iti śivamāhātmyavarṇanam | samāpto'yaṃ granthaḥ,almost at end /// end
M00543 - dIkSAvidhi.htm,dIkSAvidhi_M00543.xml,M00543,Dīkṣāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00543,,,,,uncertain,yes? - title in colophon spelled differently,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,mate nātmaka vā loke yatsarvatra viduṣyati | (***?) pāpa na kurvīta anityaṃ khalu(?) jīvitaṃ | pratyaṃ neṣṭavidhiḥ samāptāḥ,
M00279 - dIkSottara.htm,dIkSottara_M00279.xml,M00279,Dīkṣottara,Of the nisvāsakārikā,,,https://muktabodha-digital-library.org/texts/IAST/M00279,,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",,,,iti niśvāsakārikāyāṃ dīkṣottare prakaraṇe ekonaviṃśatiḥ paṭalaḥ | || samāpto'yaṃ saṃhitā iti || idaṃ pañcasūtrojvalaṃ samudāyena dvādaśasāhasrikaṃ samāptaṃ niśvāsakārikākhyaṃ tantram || oṃ namo namaḥ | oṃ huṃ namaḥ | oṃ haṃ sa | oṃ paramaśivena likhitam niśvāsakārikākhyaṃ tantram | oṃ hariḥ oṃ | oṃ śiva śiva śiva |,
M00544 - dIpayAdavidhi.htm,dIpayAdavidhi_M00544.xml,M00544,Dīpayāgavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00544,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti śrīkulaśāsane ūrddhvāmnāyamate dīpajāgavidhiḥ samāptaḥ ///  iti tantrarāje gurustava samāptaṃ /// iti kulasamayārasvalpacarudīpayā pratyāraṃbhavidhi samāptaṃ /// iti śrījagatānandavirataṃ śrīmahātripurasundaryā stotraṃ samāptaṃ,in middle
M00545 - durgAnityArcanakrama.htm,durgAnityArcanakrama_M00545.xml,M00545,Durgānityārcanakrama,,,,https://muktabodha-digital-library.org/texts/IAST/M00545,,,,,,,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti nityārcanakramaḥ saṃkṣepaḥ,
M00340 - lakSmInArAyaNa gosTAmI - durgArcanaSRti.htm,lakSmInArAyaNa_gosTAmI_durgArcanaSRti_M00340.xml,M00340,Durgārcanaṣṛti,,Lakṣmīnārāyaṇa Gosvāmī,mbP0043,https://muktabodha-digital-library.org/texts/IAST/M00340,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",colophon,,,ityargalapura nivāsi gauḍa jātīya bhāradvāja vaṃśodbhavavidvadvara gosvāmyupāhva paṃ(0) bulākhīrāma sūnunā bhū(0) pū(0) śrīvidyādharmavarddhinī pāṭhaśālāyāḥ karmakāṇḍa yajurvedādhyāpakena vidyābhūṣaṇa karma kāṇḍamaṇītyupādhi vibhūṣitena śrīlakṣmīnārāyaṇa gosvāminā saṃgrahītā durgārcana sṛtiḥ samāptā /// afterwards - vijayā daśamyāṃ śamī pūjanam /// atha śrī durgā saptaśatī pāṭhāṃtargata prācīna śloka upalabdha,towards end
M00166 - kaula sahiba - devInAmavilAsa.htm,kaula_sahiba_devInAmavilAsa_M00166.xml,M00166,Devīnāmavilāsa,,Sāhib Kaul,mbP0018,https://muktabodha-digital-library.org/texts/IAST/M00166,Śāstrī M K,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",colophon,,,iti śrīnāmavilāsaḥ saṃpūrṇaḥ | kṛtiriyaṃ śrīmacchrīmahāmāheśvarācāryavaryasakaladaiśikavaravarendrapūjyatamacaraṇasarojasāhibakaulapādānām,
M00507 - devIpUjA.htm,devIpUjA_M00507.xml,M00507,Devīpūjā,,,,https://muktabodha-digital-library.org/texts/IAST/M00507,,,,,,,,,,,,['tantric / āgamic literature'],,,,iti durgāpūjāsampūrṇā /// iti śrīpaṇḍitakṛṣṇakaviracitaḥ śrīmahārājñīstavaḥ sampūrṇaḥ /// iti śrīmadalakṣyeśvarī paraparyāyasāhibha dararūpabhavānī vākyamañjarī sampūrṇā /// iti sarasvatīstutiḥ,4 parts
M00310 - devIrahasya.htm,devIrahasya_M00310.xml,M00310,Devīrahasya,With pariśiṣṭas,,,https://muktabodha-digital-library.org/texts/IAST/M00310,Harabhaṭṭa Śastrī,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,2 PARTS - iti śrīrudrayāmalatantrāntargata śrīdevīrahasye daśamīvidhinirūpaṇaṃ ṣaṣṭitamaḥ paṭalaḥ || samāptaṃ cedaṃ devīrahasyatantram /// iti śrīdakṣiṇāmūrtimuniviracite uddhārakośe sarvāgamasāre ṣoḍaśadevī saptadevī saptakumāra navagraha tridevī khecarīdhyānakośanirūpaṇaṃ saptamaḥ kalpaḥ || samāptaścāyamuddhārakośa iti śivam,
M00200 - dvizatikAlottara.htm,dvizatikAlottara_M00200.xml,M00200,Dviśatikālottara Vṛtti,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00200,,,,,incomplete,lacking incipit,colophon,,ilxM00033,commentary,including the mūla,"['tantra / āgama', 'śaiva', 'śaiva-siddhānta']",colophon,,,iti lakṣadvayādhyāpaka śrīmadaghora śivācāryaviracitāyāṃ dviśatikālottara vṛttau prāsādanirṇaya prakaraṇam || dviśatikālottara vṛttiḥ samāptā |,2 parts
M00106 - dhyAnabindUpaniSat.htm,dhyAnabindUpaniSat_M00106.xml,M00106,Dhyānabindūpaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00106,Śāstrī Mahādeva,,,,,,colophon,Dhyānabindu Upaniṣat,ilxM00034,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | likhitaṃ syādvivaraṇaṃ dhyānabindoḥ sphuṭaṃ laghu || dhyānabinduvivaraṇaṃ triṃśadadhiśatatrayam || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe ekonacatvāriṃśatsaṃkhyāpūrakaṃ dhyānabindūpaniṣadvivaraṇaṃ saṃpūrṇam,
E00008 - dhyAnaratnAvali.htm,dhyAnaratnAvali_E00008.xml,E00008,Dhyānaratnāvali,,,,https://muktabodha-digital-library.org/texts/IAST/E00008,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,ṣoḍaśagrahadhyānaṃ samāptaḥ /// ṣaḍvigrahaviṣaṭtriṃśat vigrahadhyānaṃ samāptaḥ,in middle
M00542 - dhvajArohaNavarSavarddhanavidhi.htm,dhvajArohaNavarSavarddhanavidhi_M00542.xml,M00542,Dhvajāvarohaṇavarṣavarddhanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00542,,,,,icomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'Paddhati']",,,,iti dhvajāvarohanavarṣavarddhanavidhisamāptaṃ,in middle
M00039 - sadyojyoti - narezvaraparIkSA.htm,sadyojyoti_narezvaraparIkSA_M00039.xml,M00039,Nareśvaraparīkṣā Prakāśa,,Rāmakaṇṭha,mbP0013,https://muktabodha-digital-library.org/texts/IAST/M00039,Śāstrī M K,,,,,,colophon,,ilxM00035,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,,,iti śrīnārāyaṇakaṇṭhasūnubhaṭṭarāmakaṇṭhakṛtau nareśvaraparīkṣāprakāśe paradarśanaprasiddheśvarapratikṣepākhyaṃ tṛtīyaṃ kāṇḍam || sampūrṇaścāyaṃ nareśvaraparīkṣāprakāśaḥ,
I00026 - navagrahadhyAnam.htm,navagrahadhyAnam_I00026.xml,I00026,Navagrahadhyānam,,,,https://muktabodha-digital-library.org/texts/IAST/I00026,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,no,
M00555 - navapIThASTamAtRkArAdhanavidhi.htm,navapIThASTamAtRkArAdhanavidhi_M00555.xml,M00555,Navapīṭhāṣṭamātṛkārādhanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00555,,,,,,,,,,,,"['tantra / āgama', 'Paddhati']",,,,atha navapīṭha aṣṭamātṛkā ārādhanavidhi likhyate /// mālinīdaṇḍakastotraṃ samāptaḥ / iti śivaśaktisamarasatva mahāmāyā stotraṃ samāptaḥ / iti śrīpīṭhanṛnnaya devyā smṛte pīṭhāvatāla stotraṃ samāptaḥ /// iti pithipūjāvidhi samāptaḥ,at beginning /// in middle /// at end
